Year,Company Name,Type of Breach,Records Compromised,Financial Loss,Impact Level,Industry,Human Error Factor,Human Error Factor Code,Mitigation Measures
2020,DOE,Physical Breach,571627,1033458.408,High,Government,Improper Disposal ,2,Two-factor Authentication
2022,Oracle,Ransomware,344814,2540388.914,High,Technology,Weak Password Management,5,Two-factor Authentication
2011,HP,DDoS Attack,560123,2029644.705,High,Technology,Phishing Attack,4,Two-factor Authentication
2010,Oracle,Malware,279410,2428417.28,Critical,Technology,Weak Password Management,5,Regular Audits
2023,JPMorgan Chase,Physical Breach,692287,506353.7282,Medium,Finance,Unintentional Info Leak ,1,Regular Audits
2022,Bank of America,DDoS Attack,27195,429994.4663,Critical,Finance,Unintentional Info Leak ,1,Regular Audits
2006,DOE,Insider Threat,66259,1426171.45,Medium,Government,Insider Threat,3,Data Encryption
2005,Cisco,Phishing,253455,1504242.681,High,Technology,Insider Threat,3,Data Encryption
2006,Kroger,Password Guessing,183915,2499064.695,High,Retail,Weak Password Management,5,Data Encryption
2000,Capital One,Insider Threat,186491,418443.3137,High,Finance,Unintentional Info Leak ,1,Data Encryption
2014,HUD,Malware,431492,2564768.511,High,Government,Weak Password Management,5,Regular Security Training
2001,Treasury Department,Password Guessing,599179,1479653.727,Medium,Government,Insider Threat,3,Data Encryption
2012,Kaiser Permanente,Ransomware,843513,1052757.153,Critical,Healthcare,Improper Disposal ,2,Two-factor Authentication
2023,Kroger,DDoS Attack,960846,1618255.171,Medium,Retail,Insider Threat,3,Access Controls
2017,USPS,Phishing,511841,1555033.928,High,Government,Insider Threat,3,Two-factor Authentication
2015,Amazon,Phishing,601725,1914220.6,High,Retail,Phishing Attack,4,Regular Audits
2020,Bank of America,DDoS Attack,838450,1036475.753,Critical,Finance,Improper Disposal ,2,Access Controls
2013,UPMC,Insider Threat,21121,2581126.931,Medium,Healthcare,Weak Password Management,5,Two-factor Authentication
2006,American Express,Insider Threat,765500,1468941.964,Medium,Finance,Insider Threat,3,Regular Security Training
2002,Kroger,Password Guessing,657238,1576979.145,Medium,Retail,Insider Threat,3,Data Encryption
2014,UPMC,Password Guessing,361113,1981489.044,Low,Healthcare,Phishing Attack,4,Data Encryption
2009,Oracle,Phishing,362111,1401160.357,Critical,Technology,Insider Threat,3,Regular Security Training
2001,US Bancorp,Password Guessing,471627,988592.4348,High,Finance,Improper Disposal ,2,Regular Security Training
2005,Ascension,Malware,120132,2542292.278,High,Healthcare,Weak Password Management,5,Regular Audits
2006,Capital One,Password Guessing,23948,2533281.556,High,Finance,Weak Password Management,5,Regular Security Training
2020,Costco,Password Guessing,412480,903536.0571,Low,Retail,Improper Disposal ,2,Regular Security Training
2000,HCA Healthcare,Malware,935322,1002599.051,High,Healthcare,Improper Disposal ,2,Regular Security Training
2024,Apple,Malware,680530,1034702.506,Critical,Technology,Improper Disposal ,2,Access Controls
2015,Home Depot,Physical Breach,969892,1422504.7,Medium,Retail,Insider Threat,3,Data Encryption
2006,HCA Healthcare,Ransomware,123428,1074892.453,Medium,Healthcare,Improper Disposal ,2,Regular Security Training
2013,Treasury Department,Physical Breach,533982,464875.5211,High,Government,Unintentional Info Leak ,1,Access Controls
2011,Goldman Sachs,DDoS Attack,665346,1945579.269,High,Finance,Phishing Attack,4,Regular Audits
2010,Best Buy,Physical Breach,390772,854206.8475,Medium,Retail,Improper Disposal ,2,Regular Audits
2005,DOE,Malware,471225,2446465.607,Medium,Government,Weak Password Management,5,Regular Security Training
2020,Best Buy,Ransomware,96631,1421882.408,Medium,Retail,Insider Threat,3,Access Controls
2006,USPS,Phishing,91684,489751.6911,High,Government,Unintentional Info Leak ,1,Regular Security Training
2008,Kroger,Ransomware,299475,1973713.735,High,Retail,Phishing Attack,4,Access Controls
2009,PNC Financial,Insider Threat,816326,1973173.296,High,Finance,Phishing Attack,4,Two-factor Authentication
2006,HP,Physical Breach,563961,2487713.33,High,Technology,Weak Password Management,5,Access Controls
2015,Kaiser Permanente,Insider Threat,58428,1948372.765,High,Healthcare,Phishing Attack,4,Regular Audits
2021,CIA,Insider Threat,701047,1041594.606,Medium,Government,Improper Disposal ,2,Two-factor Authentication
2010,HHS,Password Guessing,861374,1956026.044,High,Government,Phishing Attack,4,Access Controls
2005,Home Depot,DDoS Attack,74057,1011254.567,Medium,Retail,Improper Disposal ,2,Data Encryption
2002,Kaiser Permanente,Password Guessing,425350,1923682.053,High,Healthcare,Phishing Attack,4,Regular Security Training
2002,Goldman Sachs,Phishing,308309,1043414.078,High,Finance,Improper Disposal ,2,Regular Audits
2004,Best Buy,Password Guessing,883642,1953226.8,Low,Retail,Phishing Attack,4,Regular Audits
2013,Walgreens,DDoS Attack,114293,2486819.921,Medium,Retail,Weak Password Management,5,Two-factor Authentication
2003,NASA,Phishing,839718,476476.763,Medium,Government,Unintentional Info Leak ,1,Regular Audits
2013,CVS,Phishing,113215,947943.6869,Critical,Retail,Improper Disposal ,2,Data Encryption
2022,Google,Malware,407488,602408.7159,High,Technology,Unintentional Info Leak ,1,Access Controls
2011,Cleveland Clinic,Malware,722713,2497574.532,High,Healthcare,Weak Password Management,5,Access Controls
2017,Community Health Systems,DDoS Attack,979420,2454705.806,Medium,Healthcare,Weak Password Management,5,Regular Audits
2007,UPMC,Phishing,987382,1453315.179,Medium,Healthcare,Insider Threat,3,Two-factor Authentication
2002,HUD,Password Guessing,85649,2428093.623,Low,Government,Weak Password Management,5,Data Encryption
2019,Ascension,Phishing,34423,932659.4267,Critical,Healthcare,Improper Disposal ,2,Access Controls
2021,Ascension,DDoS Attack,896123,2466381.915,High,Healthcare,Weak Password Management,5,Regular Security Training
2009,FBI,Malware,588623,934967.3874,Critical,Government,Improper Disposal ,2,Regular Security Training
2004,Goldman Sachs,Physical Breach,831488,2013780.889,Medium,Finance,Phishing Attack,4,Regular Audits
2023,HCA Healthcare,Physical Breach,543670,2029632.705,High,Healthcare,Phishing Attack,4,Regular Audits
2008,US Bancorp,Physical Breach,542010,2006895.975,High,Finance,Phishing Attack,4,Regular Audits
2014,HHS,Physical Breach,287132,1528554.342,High,Government,Insider Threat,3,Two-factor Authentication
2020,EPA,Insider Threat,56922,1526309.121,Medium,Government,Insider Threat,3,Access Controls
2019,Oracle,Ransomware,365582,1020478.835,Critical,Technology,Improper Disposal ,2,Regular Audits
2001,DOE,Insider Threat,976168,2449578.492,High,Government,Weak Password Management,5,Regular Audits
2006,Kindred Healthcare,DDoS Attack,437912,1054154.409,Critical,Healthcare,Improper Disposal ,2,Access Controls
2023,Mayo Clinic,Physical Breach,940217,586123.1023,High,Healthcare,Unintentional Info Leak ,1,Access Controls
2005,Capital One,Ransomware,797021,1964576.404,Critical,Finance,Phishing Attack,4,Two-factor Authentication
2004,Amazon,Password Guessing,294758,2017920.12,High,Retail,Phishing Attack,4,Regular Audits
2005,Intel,Ransomware,615370,1022645.137,High,Technology,Improper Disposal ,2,Regular Audits
2016,Walgreens,Password Guessing,84866,1970151.533,Low,Retail,Phishing Attack,4,Data Encryption
2020,FBI,Malware,677781,2035888.268,Medium,Government,Phishing Attack,4,Access Controls
2016,Walmart,Phishing,341478,2464157.364,Medium,Retail,Weak Password Management,5,Data Encryption
2005,PNC Financial,Insider Threat,9232,2444881.526,High,Finance,Weak Password Management,5,Access Controls
2015,Apple,Phishing,645338,1432129.694,Low,Technology,Insider Threat,3,Regular Security Training
2023,HHS,Phishing,499923,2461750.204,High,Government,Weak Password Management,5,Regular Audits
2023,Google,Malware,169573,2432884.694,Critical,Technology,Weak Password Management,5,Data Encryption
2013,Costco,Password Guessing,230887,2430508.587,Low,Retail,Weak Password Management,5,Regular Security Training
2006,Lowe's,Physical Breach,977951,1392910.895,Medium,Retail,Insider Threat,3,Regular Security Training
2014,JPMorgan Chase,Insider Threat,248590,2497298.043,Medium,Finance,Weak Password Management,5,Regular Audits
2005,Target,Physical Breach,444366,1007486.505,Medium,Retail,Improper Disposal ,2,Regular Audits
2019,Johns Hopkins,Physical Breach,156733,2435267.947,Medium,Healthcare,Weak Password Management,5,Two-factor Authentication
2004,Facebook,Ransomware,988819,486894.7721,High,Technology,Unintentional Info Leak ,1,Regular Audits
2005,Best Buy,Phishing,501365,450863.3647,Medium,Retail,Unintentional Info Leak ,1,Data Encryption
2014,American Express,Password Guessing,433603,1562672.992,Low,Finance,Insider Threat,3,Regular Audits
2022,US Bancorp,DDoS Attack,883726,2566763.432,Critical,Finance,Weak Password Management,5,Data Encryption
2023,JPMorgan Chase,Ransomware,686859,1580232.553,High,Finance,Insider Threat,3,Regular Security Training
2003,HHS,DDoS Attack,792393,1012458.824,High,Government,Improper Disposal ,2,Access Controls
2006,UPMC,Password Guessing,44508,2527325.165,Medium,Healthcare,Weak Password Management,5,Data Encryption
2019,Treasury Department,Malware,600671,513458.1425,Critical,Government,Unintentional Info Leak ,1,Data Encryption
2011,Morgan Stanley,Malware,744173,1969860.779,Low,Finance,Phishing Attack,4,Two-factor Authentication
2006,UPMC,Physical Breach,713294,2014201.408,High,Healthcare,Phishing Attack,4,Access Controls
2006,CIA,Password Guessing,842878,1536636.9,Low,Government,Insider Threat,3,Access Controls
2020,Johns Hopkins,Physical Breach,163124,1404517.225,Medium,Healthcare,Insider Threat,3,Regular Security Training
2007,Amazon,DDoS Attack,461181,470960.2299,Critical,Retail,Unintentional Info Leak ,1,Regular Audits
2000,UPMC,Malware,456814,1494743.498,Critical,Healthcare,Insider Threat,3,Regular Audits
2015,NASA,Insider Threat,681166,2021808.242,Medium,Government,Phishing Attack,4,Two-factor Authentication
2023,Amazon,Physical Breach,862582,951956.5306,High,Retail,Improper Disposal ,2,Regular Security Training
2023,Goldman Sachs,Ransomware,435160,2016511.597,High,Finance,Phishing Attack,4,Regular Security Training
2002,HCA Healthcare,DDoS Attack,127592,1480296.002,Critical,Healthcare,Insider Threat,3,Two-factor Authentication
2021,Home Depot,Phishing,43035,1957068.853,Medium,Retail,Phishing Attack,4,Two-factor Authentication
2011,HHS,Malware,787222,2006535.263,High,Government,Phishing Attack,4,Regular Audits
2022,NASA,Insider Threat,804563,1411110.644,High,Government,Insider Threat,3,Data Encryption
2013,Goldman Sachs,Phishing,891545,2029902.525,Critical,Finance,Phishing Attack,4,Two-factor Authentication
2009,Treasury Department,DDoS Attack,563603,583425.3378,Critical,Government,Unintentional Info Leak ,1,Regular Audits
2019,Capital One,DDoS Attack,128690,2030252.961,Medium,Finance,Phishing Attack,4,Access Controls
2013,Amazon,Phishing,772981,2513713.881,High,Technology,Weak Password Management,5,Data Encryption
2014,Treasury Department,DDoS Attack,41611,1925712.623,Critical,Government,Phishing Attack,4,Two-factor Authentication
2013,HHS,Malware,870429,485154.468,Low,Government,Unintentional Info Leak ,1,Data Encryption
2000,Google,DDoS Attack,999283,520119.9999,High,Technology,Unintentional Info Leak ,1,Data Encryption
2004,Tenet Healthcare,Phishing,694147,488721.8373,High,Healthcare,Unintentional Info Leak ,1,Data Encryption
2013,FBI,Insider Threat,563938,1504277.904,High,Government,Insider Threat,3,Access Controls
2019,Community Health Systems,Ransomware,174878,2500270.624,Medium,Healthcare,Weak Password Management,5,Two-factor Authentication
2000,Lowe's,Malware,797961,1604317.322,High,Retail,Insider Threat,3,Access Controls
2016,Morgan Stanley,Insider Threat,768204,1437016.27,High,Finance,Insider Threat,3,Regular Audits
2005,PNC Financial,Malware,155423,1984788.763,High,Finance,Phishing Attack,4,Regular Security Training
2007,Best Buy,Insider Threat,819302,2537898.328,Medium,Retail,Weak Password Management,5,Regular Security Training
2023,Cisco,Ransomware,346508,2458178.796,Medium,Technology,Weak Password Management,5,Access Controls
2015,HHS,Ransomware,485253,2459843.695,High,Government,Weak Password Management,5,Two-factor Authentication
2001,Tenet Healthcare,Phishing,20920,2481231.304,High,Healthcare,Weak Password Management,5,Regular Audits
2012,Target,Password Guessing,768275,1576909.296,High,Retail,Insider Threat,3,Regular Audits
2006,HHS,Ransomware,533888,490230.5028,Low,Government,Unintentional Info Leak ,1,Regular Security Training
2012,Facebook,Password Guessing,708891,466980.2433,Critical,Technology,Unintentional Info Leak ,1,Two-factor Authentication
2010,Kroger,Password Guessing,369031,1501743.686,Low,Retail,Insider Threat,3,Regular Audits
2015,HP,Insider Threat,810840,1038220.902,Medium,Technology,Improper Disposal ,2,Two-factor Authentication
2016,JPMorgan Chase,Password Guessing,760788,1518068.267,Critical,Finance,Insider Threat,3,Two-factor Authentication
2021,Apple,Ransomware,288955,1949035.374,High,Technology,Phishing Attack,4,Two-factor Authentication
2003,CVS,Password Guessing,568985,959725.8514,High,Retail,Improper Disposal ,2,Two-factor Authentication
2017,HP,Malware,647067,2475132.954,Critical,Technology,Weak Password Management,5,Data Encryption
2014,DOD,Phishing,493763,2451123.524,Critical,Government,Weak Password Management,5,Regular Security Training
2007,USPS,Password Guessing,40861,503740.0713,High,Government,Unintentional Info Leak ,1,Access Controls
2001,JPMorgan Chase,Ransomware,829309,2017493.516,High,Finance,Phishing Attack,4,Regular Security Training
2015,Home Depot,Malware,83852,1055043.87,High,Retail,Improper Disposal ,2,Regular Security Training
2020,US Bancorp,Insider Threat,329781,966813.355,High,Finance,Improper Disposal ,2,Regular Audits
2022,Best Buy,Insider Threat,729956,2527063.126,Medium,Retail,Weak Password Management,5,Regular Audits
2012,Kindred Healthcare,Physical Breach,377878,1076923.556,Critical,Healthcare,Improper Disposal ,2,Two-factor Authentication
2023,NASA,Malware,578400,1494692.237,Critical,Government,Insider Threat,3,Access Controls
2010,Cisco,Insider Threat,319998,2482852.967,High,Technology,Weak Password Management,5,Two-factor Authentication
2018,Walgreens,Ransomware,235055,1950801.09,High,Retail,Phishing Attack,4,Two-factor Authentication
2008,DOE,DDoS Attack,991232,477202.3281,High,Government,Unintentional Info Leak ,1,Regular Audits
2003,Ascension,Password Guessing,424927,1005857.241,High,Healthcare,Improper Disposal ,2,Regular Audits
2013,Walgreens,Ransomware,946163,2068886.254,Medium,Retail,Phishing Attack,4,Access Controls
2008,Lowe's,Malware,31041,507846.0147,Critical,Retail,Unintentional Info Leak ,1,Regular Audits
2021,Facebook,Ransomware,812343,1956906.152,High,Technology,Phishing Attack,4,Two-factor Authentication
2006,Kaiser Permanente,Physical Breach,62930,450158.6439,High,Healthcare,Unintentional Info Leak ,1,Data Encryption
2012,Amazon,Ransomware,781654,2009560.971,Low,Technology,Phishing Attack,4,Regular Audits
2016,NASA,DDoS Attack,244803,2468591.016,High,Government,Weak Password Management,5,Regular Security Training
2002,HP,DDoS Attack,791647,1413743.461,High,Technology,Insider Threat,3,Access Controls
2014,Walgreens,DDoS Attack,220894,1028833.768,High,Retail,Improper Disposal ,2,Regular Security Training
2016,Apple,Physical Breach,94254,1448596.032,High,Technology,Insider Threat,3,Access Controls
2021,EPA,Phishing,8095,531824.1437,Low,Government,Unintentional Info Leak ,1,Access Controls
2007,Morgan Stanley,Phishing,523301,578438.9684,High,Finance,Unintentional Info Leak ,1,Two-factor Authentication
2015,Morgan Stanley,Physical Breach,286207,2471337.56,Low,Finance,Weak Password Management,5,Two-factor Authentication
2024,JPMorgan Chase,DDoS Attack,95609,2537147.958,Low,Finance,Weak Password Management,5,Two-factor Authentication
2008,Bank of America,Physical Breach,20327,2457686.667,Low,Finance,Weak Password Management,5,Regular Security Training
2024,Kaiser Permanente,Malware,115234,586016.7491,High,Healthcare,Unintentional Info Leak ,1,Regular Audits
2004,USPS,DDoS Attack,516921,1027103.656,Medium,Government,Improper Disposal ,2,Access Controls
2022,Citigroup,Ransomware,338959,2495932.368,High,Finance,Weak Password Management,5,Access Controls
2017,Goldman Sachs,Phishing,392437,2525089.846,High,Finance,Weak Password Management,5,Regular Security Training
2012,Facebook,Physical Breach,798110,527211.7695,High,Technology,Unintentional Info Leak ,1,Regular Audits
2003,Cleveland Clinic,Physical Breach,484798,1516469.523,High,Healthcare,Insider Threat,3,Regular Security Training
2022,DOD,DDoS Attack,16660,2561387.425,High,Government,Weak Password Management,5,Regular Audits
2004,Target,Ransomware,443563,2454500.507,High,Retail,Weak Password Management,5,Access Controls
2017,Community Health Systems,Malware,396309,1072043.715,High,Healthcare,Improper Disposal ,2,Two-factor Authentication
2012,Lowe's,DDoS Attack,595048,2452711.462,High,Retail,Weak Password Management,5,Access Controls
2021,Kindred Healthcare,Password Guessing,880357,1960327.272,High,Healthcare,Phishing Attack,4,Data Encryption
2014,HHS,Physical Breach,769958,2001519.183,Critical,Government,Phishing Attack,4,Access Controls
2021,USPS,Physical Breach,953745,2458095.96,High,Government,Weak Password Management,5,Regular Security Training
2022,FBI,Phishing,42143,1986221.639,Medium,Government,Phishing Attack,4,Regular Audits
2004,Treasury Department,Password Guessing,767509,474930.8077,High,Government,Unintentional Info Leak ,1,Regular Audits
2007,Capital One,Insider Threat,810844,2511856.796,Low,Finance,Weak Password Management,5,Access Controls
2015,Best Buy,Physical Breach,424979,1998392.733,High,Retail,Phishing Attack,4,Regular Security Training
2020,Home Depot,Ransomware,275221,2531855.787,Low,Retail,Weak Password Management,5,Regular Security Training
2002,Lowe's,Malware,142870,544989.8982,Medium,Retail,Unintentional Info Leak ,1,Regular Audits
2014,JPMorgan Chase,Physical Breach,176587,983153.6844,High,Finance,Improper Disposal ,2,Regular Security Training
2022,CIA,Physical Breach,689446,1089094.238,Medium,Government,Improper Disposal ,2,Access Controls
2019,Kroger,Phishing,537941,538679.7372,Medium,Retail,Unintentional Info Leak ,1,Access Controls
2019,Bank of America,Password Guessing,72759,1499891.611,High,Finance,Insider Threat,3,Access Controls
2004,JPMorgan Chase,Password Guessing,695403,551743.1046,Medium,Finance,Unintentional Info Leak ,1,Regular Security Training
2024,Bank of America,Ransomware,655996,1482459.603,Critical,Finance,Insider Threat,3,Access Controls
2000,Morgan Stanley,Ransomware,568524,992998.7119,High,Finance,Improper Disposal ,2,Access Controls
2024,Treasury Department,Ransomware,640262,550057.8269,Medium,Government,Unintentional Info Leak ,1,Access Controls
2007,EPA,Malware,444016,1013787.376,High,Government,Improper Disposal ,2,Regular Audits
2008,CIA,Insider Threat,979828,2501840.485,High,Government,Weak Password Management,5,Access Controls
2005,Ascension,Phishing,531000,1484439.846,Medium,Healthcare,Insider Threat,3,Two-factor Authentication
2002,Kaiser Permanente,Malware,889324,1939771.735,Critical,Healthcare,Phishing Attack,4,Access Controls
2014,CIA,Phishing,710798,2012230.238,Low,Government,Phishing Attack,4,Two-factor Authentication
2014,Facebook,Phishing,281770,2599787.792,High,Technology,Weak Password Management,5,Regular Audits
2005,Google,Insider Threat,850317,2590276.398,High,Technology,Weak Password Management,5,Regular Audits
2021,Mayo Clinic,Malware,181852,1052399.801,Medium,Healthcare,Improper Disposal ,2,Regular Audits
2020,Community Health Systems,Phishing,329393,1973669.402,Critical,Healthcare,Phishing Attack,4,Two-factor Authentication
2020,Oracle,Insider Threat,250479,994410.4604,Critical,Technology,Improper Disposal ,2,Data Encryption
2002,Best Buy,Insider Threat,876996,519637.5178,Medium,Retail,Unintentional Info Leak ,1,Two-factor Authentication
2005,Cisco,DDoS Attack,217469,980032.8475,Medium,Technology,Improper Disposal ,2,Two-factor Authentication
2013,Community Health Systems,Password Guessing,650801,1585546.401,High,Healthcare,Insider Threat,3,Regular Security Training
2000,CVS,Insider Threat,210514,1004289.63,High,Retail,Improper Disposal ,2,Regular Audits
2012,CVS,Phishing,58152,521573.2687,Medium,Retail,Unintentional Info Leak ,1,Data Encryption
2005,Goldman Sachs,DDoS Attack,684119,1984685.025,Critical,Finance,Phishing Attack,4,Access Controls
2011,HHS,Insider Threat,273261,1543975.315,Critical,Government,Insider Threat,3,Regular Audits
2013,Johns Hopkins,Insider Threat,532915,1451105.376,Critical,Healthcare,Insider Threat,3,Data Encryption
2002,NASA,DDoS Attack,359797,502492.3442,Critical,Government,Unintentional Info Leak ,1,Regular Audits
2013,Intel,DDoS Attack,613347,1476182.746,Critical,Technology,Insider Threat,3,Data Encryption
2000,HCA Healthcare,Phishing,702133,976226.3481,Critical,Healthcare,Improper Disposal ,2,Regular Audits
2008,Johns Hopkins,Insider Threat,984801,1981849.511,Medium,Healthcare,Phishing Attack,4,Access Controls
2011,Mayo Clinic,DDoS Attack,949159,1490053.059,Critical,Healthcare,Insider Threat,3,Two-factor Authentication
2001,Google,Physical Breach,688329,2460539.725,Critical,Technology,Weak Password Management,5,Data Encryption
2024,Google,Physical Breach,279167,1970721.616,High,Technology,Phishing Attack,4,Regular Audits
2003,Capital One,DDoS Attack,166917,2583442.443,Medium,Finance,Weak Password Management,5,Two-factor Authentication
2012,US Bancorp,Malware,595069,2549269.655,Critical,Finance,Weak Password Management,5,Access Controls
2004,Ascension,Physical Breach,231717,1492681.891,High,Healthcare,Insider Threat,3,Access Controls
2023,CVS,Phishing,729104,2539024.86,High,Retail,Weak Password Management,5,Regular Audits
2023,CIA,Malware,536678,2056249.887,Critical,Government,Phishing Attack,4,Two-factor Authentication
2000,Community Health Systems,Malware,914274,1004495.176,High,Healthcare,Improper Disposal ,2,Regular Security Training
2020,Target,Ransomware,382738,1029271.583,High,Retail,Improper Disposal ,2,Access Controls
2014,Kroger,Phishing,716113,2019103.411,High,Retail,Phishing Attack,4,Regular Audits
2002,Home Depot,Insider Threat,148476,1508207.379,Critical,Retail,Insider Threat,3,Regular Security Training
2007,DOE,Physical Breach,129838,1003579.116,Medium,Government,Improper Disposal ,2,Two-factor Authentication
2011,JPMorgan Chase,Ransomware,453744,1086789.794,High,Finance,Improper Disposal ,2,Regular Security Training
2022,Google,Ransomware,732965,1958108.42,Low,Technology,Phishing Attack,4,Two-factor Authentication
2018,CVS,Phishing,280402,2501036.36,High,Retail,Weak Password Management,5,Access Controls
2017,Treasury Department,Physical Breach,699552,1941987.749,Medium,Government,Phishing Attack,4,Regular Security Training
2009,FBI,Insider Threat,574990,1467815.716,Critical,Government,Insider Threat,3,Regular Security Training
2012,HCA Healthcare,Physical Breach,512922,2019796.878,High,Healthcare,Phishing Attack,4,Access Controls
2007,Amazon,Password Guessing,171266,1048069.581,Medium,Retail,Improper Disposal ,2,Data Encryption
2005,Community Health Systems,Malware,476000,2000161.755,High,Healthcare,Phishing Attack,4,Access Controls
2016,Cisco,Malware,357941,2488913.429,Medium,Technology,Weak Password Management,5,Regular Audits
2024,Amazon,DDoS Attack,568802,460414.1283,Medium,Technology,Unintentional Info Leak ,1,Data Encryption
2008,Bank of America,Ransomware,731432,1937438.935,High,Finance,Phishing Attack,4,Data Encryption
2008,Tenet Healthcare,Phishing,361903,510023.2423,Medium,Healthcare,Unintentional Info Leak ,1,Access Controls
2022,FBI,Malware,793368,2570632.544,Medium,Government,Weak Password Management,5,Regular Security Training
2008,Oracle,DDoS Attack,282668,2501131.87,High,Technology,Weak Password Management,5,Data Encryption
2003,CIA,Physical Breach,387971,1032627.644,Low,Government,Improper Disposal ,2,Regular Audits
2014,Cisco,Ransomware,967883,1040697.01,High,Technology,Improper Disposal ,2,Two-factor Authentication
2023,Cleveland Clinic,Password Guessing,473351,534425.5458,High,Healthcare,Unintentional Info Leak ,1,Data Encryption
2022,Intel,Phishing,741208,1008568.914,Medium,Technology,Improper Disposal ,2,Data Encryption
2006,Costco,Insider Threat,131979,926228.5397,Critical,Retail,Improper Disposal ,2,Access Controls
2005,Citigroup,Physical Breach,263481,1501730.635,Medium,Finance,Insider Threat,3,Data Encryption
2005,Cleveland Clinic,DDoS Attack,794163,2041876.978,High,Healthcare,Phishing Attack,4,Data Encryption
2024,Kindred Healthcare,Physical Breach,140994,1560515.211,Critical,Healthcare,Insider Threat,3,Two-factor Authentication
2016,Lowe's,Phishing,760763,982834.4611,High,Retail,Improper Disposal ,2,Regular Audits
2016,Capital One,Malware,180355,2053089.725,High,Finance,Phishing Attack,4,Data Encryption
2005,CIA,Phishing,679158,1508647.836,High,Government,Insider Threat,3,Regular Security Training
2020,Capital One,Password Guessing,272817,2000102.271,Low,Finance,Phishing Attack,4,Regular Security Training
2015,CVS,Malware,617017,1532946.724,High,Retail,Insider Threat,3,Data Encryption
2002,Wells Fargo,Phishing,834901,2489360.962,Medium,Finance,Weak Password Management,5,Regular Audits
2017,DOD,DDoS Attack,379658,1972828.41,High,Government,Phishing Attack,4,Regular Audits
2016,Kroger,Ransomware,828142,2508495.944,Critical,Retail,Weak Password Management,5,Regular Security Training
2005,USPS,DDoS Attack,36596,1073502.581,Critical,Government,Improper Disposal ,2,Two-factor Authentication
2017,DOE,DDoS Attack,681314,1023456.127,High,Government,Improper Disposal ,2,Regular Security Training
2015,Facebook,Phishing,515556,2025089.966,Medium,Technology,Phishing Attack,4,Regular Audits
2010,HP,Ransomware,400745,2015821.765,High,Technology,Phishing Attack,4,Regular Audits
2011,Goldman Sachs,Malware,708424,2000676.335,Medium,Finance,Phishing Attack,4,Two-factor Authentication
2024,US Bancorp,Malware,678502,1070753.05,High,Finance,Improper Disposal ,2,Two-factor Authentication
2000,Citigroup,Physical Breach,654463,1918477.526,Critical,Finance,Phishing Attack,4,Regular Audits
2008,UPMC,Phishing,818108,1465753.813,Medium,Healthcare,Insider Threat,3,Two-factor Authentication
2007,PNC Financial,Ransomware,874279,1027117.398,High,Finance,Improper Disposal ,2,Access Controls
2004,Cleveland Clinic,Physical Breach,706857,971873.881,High,Healthcare,Improper Disposal ,2,Regular Security Training
2010,Capital One,Physical Breach,447770,949415.6583,High,Finance,Improper Disposal ,2,Data Encryption
2024,Tenet Healthcare,Password Guessing,142881,522795.0382,Critical,Healthcare,Unintentional Info Leak ,1,Regular Audits
2021,IBM,Password Guessing,515052,1010301.086,Medium,Technology,Improper Disposal ,2,Regular Audits
2022,Tenet Healthcare,Password Guessing,652011,2419872.709,High,Healthcare,Weak Password Management,5,Access Controls
2002,Kaiser Permanente,Ransomware,461657,968678.3613,High,Healthcare,Improper Disposal ,2,Two-factor Authentication
2014,Best Buy,Physical Breach,852717,2012499.398,High,Retail,Phishing Attack,4,Regular Security Training
2011,Lowe's,Malware,422121,2567489.409,Critical,Retail,Weak Password Management,5,Regular Security Training
2003,DOD,Malware,212807,1513583.433,Critical,Government,Insider Threat,3,Data Encryption
2010,Citigroup,Password Guessing,977153,2051370.99,Critical,Finance,Phishing Attack,4,Regular Security Training
2003,DOD,Password Guessing,232994,2390723.736,Low,Government,Weak Password Management,5,Two-factor Authentication
2010,Amazon,Malware,900948,535067.5735,Medium,Technology,Unintentional Info Leak ,1,Regular Audits
2019,UPMC,Physical Breach,270263,1431688.741,Critical,Healthcare,Insider Threat,3,Regular Security Training
2023,Cisco,Ransomware,705028,2487664.398,Medium,Technology,Weak Password Management,5,Regular Security Training
2012,Google,Insider Threat,321310,519817.9821,Medium,Technology,Unintentional Info Leak ,1,Regular Security Training
2014,DOE,Phishing,802649,2083175.284,High,Government,Phishing Attack,4,Regular Audits
2001,Community Health Systems,DDoS Attack,113746,1913062.017,High,Healthcare,Phishing Attack,4,Regular Security Training
2005,CIA,DDoS Attack,285560,2520688.099,Medium,Government,Weak Password Management,5,Regular Audits
2023,DOD,Phishing,699379,1988705.086,High,Government,Phishing Attack,4,Two-factor Authentication
2020,Goldman Sachs,Insider Threat,525901,1011339.132,Medium,Finance,Improper Disposal ,2,Two-factor Authentication
2014,PNC Financial,Phishing,364179,2516158.784,Medium,Finance,Weak Password Management,5,Regular Audits
2001,American Express,Ransomware,386021,475335.7863,Medium,Finance,Unintentional Info Leak ,1,Regular Security Training
2000,Facebook,Physical Breach,287046,1032488.193,Low,Technology,Improper Disposal ,2,Two-factor Authentication
2000,Bank of America,Physical Breach,342701,1121634.982,High,Finance,Improper Disposal ,2,Regular Audits
2022,American Express,Malware,980818,2481915.344,Critical,Finance,Weak Password Management,5,Access Controls
2015,Oracle,DDoS Attack,177627,1985129.379,Medium,Technology,Phishing Attack,4,Regular Security Training
